,Mouse1,Mouse2,Mouse3,Mouse4,Mouse5,Mouse6,Mouse7,Mouse8,Mouse9,Mouse10,Mouse11,Mouse12,Mouse13,Mouse14,Mouse15,Mouse16,Mouse17,Mouse18,Mouse19,Mouse20,Mouse21,Mouse22,Mouse23,Mouse24
mmu-miR-362-5p,4,1,1,1,1,1,4,3,6,7,5,2,10,4,10,12,10,7,2,13,10,5,10,10
mmu-miR-363,2,2,1,1,2,1,6,5,5,2,3,5,4,2,9,3,6,4,7,4,6,4,8,5
mmu-miR-365,109,14,22,4,52,19,50,104,30,93,52,103,94,51,79,101,183,62,67,100,40,60,50,153
mmu-miR-367,33,5,18,3,14,15,50,53,42,43,52,71,51,32,59,76,76,47,41,63,42,54,44,78
mmu-miR-369-3p,28,6,11,4,21,13,45,62,27,47,55,70,65,26,44,71,82,38,32,58,43,45,44,66
mmu-miR-369-5p,17,6,6,4,6,9,47,32,12,21,27,44,45,25,26,36,33,21,9,44,26,27,18,46
mmu-miR-370,16,8,4,1,10,8,28,37,25,21,37,40,28,18,23,43,51,29,25,41,30,37,28,47
mmu-miR-374,28,10,7,3,15,12,42,50,33,54,29,49,44,32,49,55,67,42,47,59,46,49,35,52
mmu-miR-375,40,6,6,3,16,9,29,43,26,73,38,47,53,11,36,37,53,56,21,34,24,32,45,85
mmu-miR-376a,51,19,19,1,22,16,66,43,60,66,69,67,62,71,70,111,103,96,76,58,91,82,91,48
mmu-miR-376b,20,7,6,1,8,5,38,17,17,31,14,34,29,25,24,38,63,22,25,27,27,34,22,18
mmu-miR-376c,7,2,3,1,9,10,11,9,8,29,10,15,8,7,22,21,38,17,12,14,16,11,17,22
mmu-miR-377,67,19,28,9,31,15,101,76,81,66,61,73,78,70,77,112,121,92,66,113,72,110,108,74
mmu-miR-378,177,28,38,20,109,90,134,212,104,546,172,346,193,109,158,284,446,162,138,184,121,240,136,264
mmu-miR-379,5,3,2,1,4,6,7,6,9,10,6,13,14,5,17,15,18,14,15,10,10,15,17,9
mmu-miR-380-3p,2,5,1,1,1,2,20,14,16,15,9,14,15,10,16,23,13,5,10,14,9,15,14,14
mmu-miR-380-5p,32,3,5,3,9,9,34,36,32,29,19,41,42,29,46,43,28,23,23,44,30,44,29,52
mmu-miR-381,21,4,7,3,8,11,42,32,24,36,33,48,45,21,25,42,58,22,30,40,29,43,35,49
mmu-miR-382,51,5,20,8,45,22,56,62,28,152,108,136,89,36,59,103,139,86,45,85,54,86,83,119
mmu-miR-383,18,6,3,1,9,7,25,17,24,21,15,23,24,17,26,29,23,22,17,25,34,27,27,33
mmu-miR-384-3p,24,9,4,3,7,6,48,40,35,27,28,56,42,32,51,51,56,39,37,35,45,40,37,37
mmu-miR-384-5p,9,4,1,3,4,2,6,12,13,10,10,11,13,9,16,18,25,18,11,17,14,13,8,18
mmu-miR-409-3p,3,5,3,1,4,4,9,13,13,9,9,7,13,11,15,15,13,11,16,14,21,10,14,17
mmu-miR-409-5p,7,3,6,1,7,2,10,12,10,9,15,14,15,9,21,16,31,17,14,16,13,23,12,23
mmu-miR-410,9,7,4,3,12,8,20,16,11,29,20,21,30,16,21,42,46,24,17,16,19,23,16,14
mmu-miR-411,4,1,1,1,5,3,10,13,13,12,8,6,13,11,16,14,16,12,7,11,16,18,9,19
mmu-miR-412,23,4,13,5,7,7,28,32,22,25,19,24,28,19,20,37,28,14,10,32,32,24,27,31
mmu-miR-421,33,8,12,6,4,14,45,50,26,39,34,52,54,33,40,49,47,34,34,56,42,55,37,69
mmu-miR-423-3p,65,14,10,3,21,25,53,60,37,66,39,71,66,55,55,134,120,58,48,73,47,60,45,73
mmu-miR-423-5p,43,9,16,3,20,20,30,49,39,56,43,43,46,46,48,78,85,35,41,60,36,61,31,68
mmu-miR-425,42,8,11,8,22,16,35,60,34,73,45,80,53,40,51,74,97,64,37,60,52,56,45,61
mmu-miR-429,65,6,9,1,45,16,18,8,16,35,41,53,27,24,39,46,200,42,22,19,11,42,320,56
mmu-miR-431,32,9,14,4,10,7,37,55,29,47,40,62,66,41,39,50,50,23,42,60,31,37,40,78
mmu-miR-432,28,12,9,4,19,11,42,55,25,32,32,41,52,20,46,49,43,32,25,42,40,44,35,57
mmu-miR-433,93,21,31,23,51,25,99,125,73,205,148,191,154,82,116,205,211,154,89,174,89,134,130,165
mmu-miR-434-3p,108,26,40,13,92,56,103,151,71,166,103,201,211,79,150,327,434,207,137,227,96,204,175,186
mmu-miR-434-5p,21,11,8,1,10,9,36,40,30,37,29,49,43,26,52,53,46,24,30,52,30,42,27,51
mmu-miR-448,21,4,8,2,11,9,43,46,25,40,40,58,49,30,40,58,67,45,35,56,37,38,38,55
mmu-miR-449a,15,5,8,3,8,9,20,34,22,20,15,32,39,17,27,27,24,18,27,31,40,28,25,33
mmu-miR-449b,7,2,3,3,2,7,20,7,8,14,8,9,24,11,28,17,12,15,17,20,10,18,14,11
mmu-miR-449c,8,6,1,1,5,1,14,10,6,5,10,6,7,3,16,8,11,10,9,11,10,9,8,15
mmu-miR-450a-3p,8,3,1,4,4,4,13,5,7,10,4,5,12,12,16,8,9,5,13,16,16,15,14,17
mmu-miR-450a-5p,9,2,1,2,7,5,12,13,8,21,20,31,24,12,26,28,45,14,19,14,21,20,18,24
mmu-miR-450b-3p,5,3,3,1,1,1,11,4,4,9,9,9,8,9,12,15,11,1,12,11,6,14,11,10
mmu-miR-450b-5p,7,3,2,1,3,3,8,11,8,11,9,9,14,13,9,17,15,12,10,19,12,15,17,17
mmu-miR-451,103,7,21,3,86,63,47,55,29,223,153,257,222,38,86,143,546,98,49,66,42,78,52,160
mmu-miR-452,5,2,3,1,4,7,3,12,9,11,7,9,9,12,9,11,7,12,10,16,13,11,14,4
mmu-miR-453,4,3,2,1,4,1,5,8,4,2,8,5,7,9,11,9,5,4,10,13,14,11,11,4
mmu-miR-455,17,5,5,5,10,4,27,25,23,22,23,36,31,27,30,41,36,20,21,32,24,24,29,43
mmu-miR-463,25,5,11,4,10,7,43,38,29,26,23,42,41,24,41,49,38,19,24,53,29,34,37,55
mmu-miR-464,20,2,5,5,7,7,37,32,23,20,32,37,36,18,33,30,32,23,34,36,26,44,25,36
mmu-miR-465a-3p,19,9,8,1,14,5,30,27,23,21,27,35,45,39,32,41,30,17,28,34,43,42,39,42
mmu-miR-465a-5p,2,2,2,1,5,2,20,10,8,6,16,5,14,10,20,13,12,12,8,14,12,15,11,10
mmu-miR-465b-5p,10,1,5,1,6,5,16,12,10,11,5,9,16,12,15,16,13,12,11,19,13,21,13,23
mmu-miR-465c-5p,15,9,7,3,3,6,30,15,18,15,24,13,23,11,23,21,23,15,23,14,22,10,18,20
mmu-miR-466a-3p+mmu-miR-466b-3-3p,7,2,6,2,3,1,10,12,10,10,7,8,10,11,13,16,13,12,11,15,16,18,9,12
mmu-miR-466a-5p+mmu-miR-466e-5p,9,8,3,2,3,2,14,13,5,14,8,14,14,10,13,17,10,11,11,13,14,19,13,15
mmu-miR-466c-5p,22,8,9,3,8,2,38,27,23,18,17,39,32,23,32,43,36,22,23,40,23,29,34,41
mmu-miR-466d-3p,42,17,13,4,10,13,57,57,43,44,57,47,50,40,56,66,65,37,40,66,37,57,51,72
mmu-miR-466d-5p,18,7,9,6,10,6,50,50,32,27,23,40,41,34,45,46,37,31,28,52,35,46,40,54
mmu-miR-466f-5p,7,4,5,1,7,2,13,8,11,12,7,7,13,16,24,12,16,12,12,14,23,13,20,12
mmu-miR-466g,316,142,114,30,99,54,536,354,476,297,295,497,444,486,390,501,514,528,390,514,460,379,626,335
mmu-miR-466h,9,4,6,1,3,1,16,9,9,8,9,10,19,9,25,11,13,7,16,12,23,19,13,13
mmu-miR-466i,11,4,7,1,3,2,15,15,11,12,6,7,9,6,14,19,14,20,8,16,13,9,19,13
mmu-miR-466j,4,5,1,1,3,2,7,10,14,8,8,4,3,13,10,8,11,7,11,10,8,12,17,11
mmu-miR-466k,31,6,15,3,10,12,44,52,32,42,36,46,59,36,44,54,44,42,18,68,37,47,40,72
mmu-miR-466l,19,9,5,1,11,3,38,28,21,20,21,34,15,18,22,36,37,19,20,39,24,29,24,39
mmu-miR-467a,17,6,11,2,9,5,25,31,18,28,26,33,33,29,39,45,42,16,26,39,39,33,29,37
mmu-miR-467b,16,6,3,2,4,4,25,19,18,17,20,21,27,15,29,19,15,25,29,30,35,27,32,24
mmu-miR-467c,18,7,1,1,3,5,23,13,12,19,16,15,25,24,20,22,25,13,21,19,21,21,21,23
mmu-miR-467d,7,4,2,1,3,2,7,12,9,7,10,9,11,9,18,12,17,13,10,11,14,18,13,16
mmu-miR-467e,30,11,13,2,16,12,57,58,32,43,37,52,49,38,39,60,53,35,38,60,43,47,44,72
mmu-miR-467f,124,37,26,10,34,18,147,117,112,97,73,155,111,133,111,158,123,121,88,198,177,76,194,121
mmu-miR-467g,22,4,4,2,5,7,28,39,27,24,27,23,27,26,28,26,27,29,22,37,27,26,26,42
mmu-miR-467h+mmu-miR-669d+mmu-miR-669l,21,9,8,5,17,8,53,35,35,26,39,42,35,29,36,48,50,33,32,39,41,36,38,40
mmu-miR-468,20,12,7,7,13,13,42,53,36,37,36,44,54,46,42,57,62,40,43,51,52,45,54,58
mmu-miR-469,7,3,1,1,2,1,19,5,13,5,10,5,16,8,23,18,8,18,16,16,13,11,11,13
mmu-miR-470,3,1,5,1,1,1,4,4,2,3,6,6,7,5,11,8,6,5,6,6,3,7,8,6
mmu-miR-471,7,4,2,1,1,3,6,10,6,7,8,5,13,10,16,12,9,6,12,14,11,9,17,4
mmu-miR-483,11,8,12,5,7,13,40,49,28,26,25,41,36,26,41,38,45,24,36,50,40,30,31,59
mmu-miR-484,39,11,17,3,15,18,52,54,37,44,37,57,69,39,36,75,73,42,40,55,38,56,52,77
mmu-miR-485,24,6,6,3,12,14,29,33,22,39,27,38,45,33,43,38,40,26,20,47,28,38,37,40
mmu-miR-486,82,7,25,10,55,17,59,103,29,164,101,136,120,50,54,143,156,78,51,76,44,91,62,148
mmu-miR-487b,13,5,4,1,5,2,4,10,12,25,19,26,16,8,15,20,24,21,21,20,9,24,19,20
mmu-miR-488,9,1,5,2,2,4,10,5,9,12,9,12,5,10,9,10,16,11,20,10,16,12,11,20
mmu-miR-489,17,3,4,1,2,4,14,7,12,9,13,11,20,8,17,13,21,15,10,6,19,24,19,14
mmu-miR-490,40,10,14,2,18,5,58,54,29,45,42,35,46,42,57,52,52,32,37,68,38,40,34,77
mmu-miR-491,25,6,7,2,5,3,31,38,14,19,18,38,40,27,31,42,46,15,18,47,26,32,20,41
mmu-miR-493,21,5,8,3,9,5,39,41,21,34,21,44,36,26,37,37,43,31,35,42,37,41,28,44
mmu-miR-494,4,1,1,1,3,3,6,1,7,3,7,3,10,2,7,9,23,16,11,5,13,14,11,6
mmu-miR-495,16,2,7,2,16,5,6,8,1,36,18,42,21,10,25,41,45,35,10,19,13,17,14,24
mmu-miR-496,2,3,2,1,1,1,4,9,10,4,4,11,12,4,14,9,10,12,9,6,11,12,12,11
mmu-miR-497,22,4,11,2,9,12,27,24,19,41,41,49,28,26,32,36,52,28,17,45,39,35,29,44
mmu-miR-499,9,7,2,3,7,3,19,7,16,18,22,16,21,14,18,13,24,14,19,29,19,29,17,21
mmu-miR-500,6,1,3,2,3,2,8,8,7,17,10,9,12,7,13,15,16,11,13,11,8,11,9,11
mmu-miR-501-3p,7,3,1,1,3,1,9,4,4,7,8,8,11,10,11,13,14,6,16,8,3,8,16,13
mmu-miR-501-5p,15,7,12,1,7,5,37,52,24,33,39,41,45,35,41,37,58,38,32,60,48,41,38,52
mmu-miR-503,8,3,1,2,2,1,9,9,10,12,15,7,12,15,22,18,18,19,8,21,18,18,30,18
mmu-miR-504,11,3,3,1,5,3,7,18,16,11,6,13,9,5,18,16,10,17,12,17,23,17,15,17
mmu-miR-505,21,8,7,2,9,12,20,35,21,24,20,31,40,20,17,44,24,31,14,31,30,26,27,47
mmu-miR-509-3p,8,4,3,1,5,1,13,5,13,15,20,16,15,17,20,14,11,11,23,27,19,13,20,11
mmu-miR-509-5p,19,6,7,4,8,11,27,45,25,28,33,43,50,31,33,44,37,23,22,46,38,42,29,40
mmu-miR-511,14,9,8,2,10,4,32,14,19,24,19,16,27,19,34,20,36,15,38,35,37,44,26,20
mmu-miR-532-3p,9,1,1,1,4,5,21,7,11,12,16,13,25,15,20,28,34,20,19,23,20,18,25,15
mmu-miR-532-5p,23,16,10,5,12,10,33,29,29,49,34,41,35,22,49,39,61,29,52,60,45,72,57,48
mmu-miR-539,50,12,10,1,18,11,67,73,46,57,46,59,65,64,49,66,62,49,47,61,39,56,58,90
mmu-miR-540-3p,6,1,1,1,2,1,6,4,7,4,4,3,7,3,7,8,10,7,4,3,8,10,9,7
mmu-miR-540-5p,11,1,4,1,1,1,20,8,11,12,11,13,15,18,23,14,19,10,15,27,15,18,24,14
mmu-miR-541,33,12,11,3,19,14,52,51,27,41,37,47,59,30,48,65,53,33,28,58,39,48,50,74
mmu-miR-542-3p,31,3,9,2,8,5,44,35,20,22,19,33,36,24,32,37,29,23,31,46,18,34,36,36
mmu-miR-542-5p,21,6,4,4,10,12,38,41,28,41,36,55,41,32,39,56,33,37,32,46,35,41,31,49
mmu-miR-543,24,9,1,1,38,1,1,30,1,56,15,33,1,1,1,15,45,1,1,1,1,1,7,7
mmu-miR-544,12,4,3,1,3,3,15,3,13,8,6,10,17,4,19,12,15,15,13,11,14,16,18,12
mmu-miR-546,5,1,1,1,2,4,8,5,9,7,6,7,11,12,8,15,13,9,12,13,12,10,12,9
mmu-miR-547,14,4,3,2,6,5,34,25,26,29,18,18,31,29,24,30,38,31,33,26,38,30,31,26
mmu-miR-551b,16,4,9,5,8,6,30,31,19,32,28,37,30,32,29,25,33,17,17,31,27,33,32,34
mmu-miR-568,15,2,2,3,4,3,14,20,11,11,12,17,19,16,28,18,22,16,27,23,21,15,26,17
mmu-miR-574-3p,55,15,15,2,20,19,50,57,44,48,45,57,90,44,57,103,120,50,52,70,41,61,48,85
mmu-miR-574-5p,54,15,23,8,25,11,53,65,51,58,62,75,58,52,57,123,114,72,57,46,59,65,76,68
mmu-miR-582-3p,3,3,2,2,5,1,7,4,9,6,8,3,5,4,8,6,13,7,6,5,9,12,4,13
mmu-miR-582-5p,7,2,3,1,1,7,7,7,14,15,7,16,10,2,13,8,20,11,9,22,12,17,5,13
mmu-miR-590-3p,2,1,2,1,2,1,13,4,7,6,6,7,10,5,17,5,13,6,10,15,19,14,16,12
mmu-miR-590-5p,13,11,13,3,16,7,31,39,22,30,31,42,43,30,32,42,49,23,23,53,40,39,34,48
mmu-miR-592,12,4,2,2,3,4,24,17,14,34,25,23,33,12,45,19,28,22,24,33,29,27,18,28
mmu-miR-599,6,4,2,1,1,4,15,11,8,9,11,7,11,10,23,18,15,14,17,12,14,12,18,9
mmu-miR-615-3p,1,2,1,1,1,1,6,5,5,6,6,5,6,5,16,7,8,8,8,10,13,13,7,11
mmu-miR-615-5p,5,1,2,1,1,1,7,5,4,4,3,4,8,9,10,8,5,3,6,5,9,9,9,7
mmu-miR-652,41,5,8,5,31,17,39,60,28,83,48,86,70,33,49,73,84,46,46,63,49,59,53,65
mmu-miR-653,16,6,2,1,1,5,16,27,18,10,11,15,19,17,26,15,17,21,19,18,21,18,32,26
mmu-miR-654-3p,14,4,11,3,8,18,47,35,17,25,20,41,26,33,27,45,44,19,21,34,27,29,25,44
mmu-miR-654-5p,2,2,2,1,1,3,12,9,8,5,9,10,10,7,13,6,10,9,17,11,12,10,10,5
mmu-miR-664,23,8,4,1,17,11,20,26,18,24,20,27,28,23,26,45,26,30,28,33,34,28,41,17
mmu-miR-665,29,4,15,2,8,10,37,39,25,24,26,41,35,16,25,42,40,33,26,39,30,31,28,42
mmu-miR-666-3p,17,8,9,3,14,6,28,46,25,24,34,39,40,25,36,39,40,16,34,39,25,27,28,48
mmu-miR-666-5p,5,1,1,4,1,1,6,3,4,9,7,15,11,7,18,8,6,6,10,15,15,9,11,8
mmu-miR-667,23,8,11,4,22,11,21,24,20,49,36,49,42,16,44,54,47,16,33,50,31,41,37,41
mmu-miR-668,14,3,5,3,4,4,20,31,15,14,20,29,27,19,32,34,26,17,20,20,33,18,18,20
mmu-miR-669a,23,7,5,6,10,11,60,43,35,44,44,55,57,32,51,62,57,34,20,66,32,30,34,64
mmu-miR-669e,20,5,7,1,8,9,36,32,17,15,22,33,31,27,41,27,25,20,32,36,20,33,32,33
mmu-miR-669f,14,8,7,3,8,11,30,18,34,25,18,19,26,30,32,51,45,35,21,36,31,34,27,27
mmu-miR-669g,18,3,3,1,5,3,33,22,24,22,22,33,39,27,27,35,35,16,19,31,43,38,34,43
mmu-miR-669h-5p,4,2,1,1,1,4,15,2,17,17,3,14,12,9,24,12,16,10,19,30,19,15,22,12
mmu-miR-669i,19,3,12,5,6,10,40,42,15,24,25,42,33,27,42,43,32,22,34,37,37,36,28,36
mmu-miR-669j,23,12,10,4,10,7,37,40,32,24,25,25,36,26,36,39,36,22,35,35,28,23,39,36
mmu-miR-669m,6,1,1,1,4,1,7,4,4,6,3,5,5,5,10,13,3,3,3,3,8,7,7,7
mmu-miR-669o,9,4,3,1,6,2,15,11,17,15,11,15,18,14,16,16,19,16,10,16,12,15,14,21
mmu-miR-670,19,6,6,5,10,9,29,43,33,35,38,29,49,29,40,39,41,30,33,46,57,31,42,44
mmu-miR-671-3p,28,7,11,1,8,9,40,51,21,25,32,40,33,38,39,30,35,24,21,40,29,38,35,60
mmu-miR-671-5p,2,1,1,1,2,1,6,5,6,3,2,3,7,5,10,10,9,7,12,8,5,6,7,10
mmu-miR-672,30,7,12,2,6,14,36,37,35,33,30,33,48,24,43,56,54,26,38,44,23,28,32,73
mmu-miR-673-3p,5,4,2,1,3,5,8,11,8,4,10,8,18,10,14,14,17,17,15,15,19,19,17,12
mmu-miR-673-5p,2,2,1,1,1,2,5,12,7,13,7,10,10,7,16,23,8,11,10,8,14,9,9,11
mmu-miR-674,27,10,10,2,10,11,31,47,26,60,39,51,59,37,44,53,45,19,39,52,45,49,43,52
