,Mouse1,Mouse2,Mouse3,Mouse4,Mouse5,Mouse6,Mouse7,Mouse8,Mouse9,Mouse10,Mouse11,Mouse12,Mouse13,Mouse14,Mouse15,Mouse16,Mouse17,Mouse18,Mouse19,Mouse20,Mouse21,Mouse22,Mouse23,Mouse24
mmu-miR-874,13,6,3,1,4,4,10,12,8,10,12,7,12,17,14,18,12,14,12,12,20,19,15,11
mmu-miR-875-3p,19,12,12,5,12,5,38,39,28,32,33,48,51,31,31,47,39,25,19,41,33,37,25,63
mmu-miR-875-5p,18,1,7,1,8,12,34,39,26,18,23,34,51,24,31,38,33,23,21,54,32,30,36,46
mmu-miR-876-3p,3,6,8,1,6,4,26,39,10,20,28,37,26,17,32,33,40,19,22,34,26,32,18,48
mmu-miR-876-5p,21,10,7,7,14,5,44,29,42,30,51,34,59,34,58,60,49,35,67,60,75,56,78,74
mmu-miR-877,24,2,5,5,13,10,31,28,27,22,20,33,39,24,23,34,43,20,17,28,32,24,26,46
mmu-miR-878-3p,6,1,1,2,4,3,11,10,5,6,11,11,16,7,21,18,9,6,13,15,16,16,16,14
mmu-miR-878-5p,11,5,9,1,7,6,23,19,19,18,12,8,13,11,27,19,22,17,16,30,26,24,27,27
mmu-miR-879,26,9,10,2,13,9,41,36,28,37,28,45,32,37,35,38,36,26,20,47,31,36,39,56
mmu-miR-880,7,1,6,1,2,1,8,9,9,7,11,11,14,10,15,17,18,8,8,15,14,13,17,14
mmu-miR-881,6,1,8,1,2,2,21,15,11,14,13,17,22,16,29,23,21,21,14,24,22,27,20,32
mmu-miR-882,23,7,3,4,13,10,40,37,20,27,24,40,35,30,27,43,43,27,23,28,31,33,28,52
mmu-miR-883a-3p,13,6,7,3,8,5,34,39,15,15,20,28,30,27,29,32,32,17,17,38,28,30,25,34
mmu-miR-883a-5p,23,5,4,4,7,8,40,34,29,31,26,41,43,32,33,42,40,31,25,37,34,38,31,37
mmu-miR-883b-3p,2,1,1,2,1,1,6,5,1,2,1,1,6,1,6,5,3,2,1,6,4,1,3,2
mmu-miR-883b-5p,11,7,5,3,7,4,23,31,23,17,15,26,25,20,32,36,33,13,21,33,24,21,22,27
mmu-miR-9,629,46,210,61,654,157,287,701,171,1651,1287,1590,976,134,761,849,1439,1109,524,950,319,935,682,1396
mmu-miR-92a,3,3,1,1,3,5,18,11,9,13,10,9,5,8,14,10,14,13,11,12,11,14,8,17
mmu-miR-92b,22,3,4,1,8,2,14,10,13,25,13,18,21,24,21,47,38,13,17,29,29,29,21,26
mmu-miR-93,11,1,3,1,10,7,10,13,4,50,19,26,23,12,22,31,34,12,11,17,8,23,7,23
mmu-miR-96,30,10,10,3,13,12,34,42,32,36,28,39,56,32,50,37,81,36,27,44,32,46,78,68
mmu-miR-98,25,5,5,4,16,7,11,15,11,43,21,46,28,18,35,39,53,20,17,28,14,27,17,33
mmu-miR-99a,319,29,79,40,261,120,147,349,116,744,295,476,341,134,241,349,561,303,207,260,138,208,134,495
mmu-miR-99b,148,22,41,12,98,41,107,153,67,202,124,206,132,82,133,281,401,181,106,141,86,125,96,177
mcmv-miR-M23-1-3p,21,8,4,1,11,13,40,57,34,35,29,50,45,31,37,57,69,31,29,52,40,45,41,49
mcmv-miR-M23-1-5p,17,9,7,6,8,2,24,34,36,26,31,36,30,16,26,42,34,17,28,25,22,24,28,33
mcmv-miR-M23-2,27,5,4,1,10,5,29,18,41,20,16,26,32,20,32,66,65,43,32,33,37,45,34,24
mcmv-miR-M44-1,5,3,1,1,4,5,9,14,8,11,10,14,15,15,10,23,17,13,10,19,21,18,20,16
mcmv-miR-M55-1,16,6,5,2,5,4,31,32,25,17,26,37,26,16,25,34,33,20,21,35,27,28,27,30
mcmv-miR-M87-1,4,1,2,1,4,1,5,6,3,8,9,6,4,5,9,6,12,7,7,6,9,5,8,12
mcmv-miR-M95-1-3p,10,6,5,1,5,3,18,15,18,17,13,34,22,20,39,23,20,22,28,24,28,26,28,23
mcmv-miR-M95-1-5p,4,1,2,1,7,1,16,6,9,8,5,7,9,11,15,5,10,8,7,8,7,17,12,14
mcmv-miR-m01-1,25,2,7,6,5,7,42,37,26,31,29,48,46,32,39,59,39,25,38,44,40,45,53,39
mcmv-miR-m01-2,32,9,7,1,14,12,55,60,27,40,48,46,61,38,46,45,64,32,21,69,36,37,35,75
mcmv-miR-m01-3,17,6,9,5,5,5,23,32,16,23,21,23,29,25,28,40,31,26,13,27,16,29,25,35
mcmv-miR-m01-4,8,1,2,1,3,2,9,9,6,7,6,10,8,5,12,7,10,5,11,10,5,11,10,8
mcmv-miR-m107-1-3p,26,7,13,3,8,13,36,36,33,31,27,48,50,35,47,54,51,32,25,45,41,46,36,55
